workclass,race,sex,age,education_num,hours_per_week,capital_gain
Self-emp-not-inc,White,Female,48.0,10.0,53.0,0.0
Private,White,Male,32.0,9.0,40.0,0.0
Private,White,Female,21.0,11.0,40.0,0.0
Private,White,Female,49.0,9.0,35.0,0.0
Private,White,Male,45.0,14.0,50.0,7298.0
Private,White,Male,23.0,10.0,50.0,0.0
Private,White,Male,45.0,10.0,44.0,15024.0
Private,White,Female,39.0,14.0,18.0,0.0
Private,White,Male,26.0,10.0,60.0,0.0
Private,White,Female,22.0,9.0,40.0,0.0
Private,White,Male,48.0,13.0,40.0,0.0
Private,Black,Male,57.0,8.0,40.0,0.0
Private,White,Male,49.0,14.0,40.0,0.0
Private,Amer-Indian-Eskimo,Male,26.0,10.0,40.0,0.0
Federal-gov,White,Female,43.0,9.0,35.0,0.0
Private,White,Male,54.0,11.0,50.0,0.0
Self-emp-not-inc,White,Male,41.0,14.0,55.0,0.0
Private,White,Male,43.0,9.0,42.0,0.0
Self-emp-not-inc,White,Male,26.0,3.0,14.0,0.0
Private,White,Male,30.0,9.0,40.0,0.0
Private,Black,Male,41.0,10.0,45.0,0.0
Private,Black,Male,67.0,7.0,9.0,0.0
Private,White,Male,32.0,12.0,40.0,0.0
Private,White,Female,38.0,10.0,50.0,0.0
Private,White,Male,29.0,10.0,40.0,0.0
Private,White,Male,36.0,10.0,60.0,0.0
Private,Black,Male,40.0,9.0,40.0,0.0
Private,White,Male,30.0,13.0,60.0,0.0
Private,White,Male,23.0,9.0,40.0,0.0
Self-emp-not-inc,White,Male,34.0,9.0,60.0,0.0
Private,Amer-Indian-Eskimo,Female,23.0,2.0,35.0,0.0
Private,White,Female,47.0,9.0,40.0,0.0
Private,White,Male,26.0,9.0,45.0,0.0
Private,White,Male,49.0,7.0,75.0,0.0
Private,White,Male,20.0,10.0,50.0,0.0
Private,White,Male,61.0,14.0,40.0,0.0
Private,White,Male,48.0,11.0,40.0,0.0
Private,White,Male,36.0,8.0,40.0,0.0
Private,White,Male,23.0,9.0,40.0,0.0
Self-emp-not-inc,White,Male,66.0,7.0,40.0,0.0
Private,Black,Male,63.0,10.0,40.0,0.0
Private,White,Female,20.0,9.0,35.0,0.0
Private,White,Male,35.0,14.0,40.0,0.0
Federal-gov,White,Male,27.0,10.0,40.0,0.0
Private,White,Male,42.0,9.0,40.0,0.0
Private,White,Male,35.0,9.0,35.0,0.0
Local-gov,White,Male,58.0,9.0,40.0,0.0
State-gov,White,Female,42.0,10.0,40.0,0.0
Private,White,Male,28.0,10.0,40.0,0.0
Private,White,Male,46.0,10.0,48.0,0.0
Private,White,Male,21.0,9.0,35.0,0.0
Private,White,Female,32.0,9.0,45.0,0.0
Private,White,Female,29.0,9.0,40.0,0.0
Private,White,Male,17.0,7.0,18.0,0.0
Private,Black,Male,41.0,13.0,50.0,0.0
Private,White,Male,42.0,13.0,90.0,0.0
Private,White,Male,27.0,13.0,50.0,0.0
Private,White,Male,29.0,13.0,40.0,0.0
Self-emp-inc,Black,Male,28.0,9.0,40.0,99999.0
Private,White,Female,37.0,13.0,16.0,0.0
Private,White,Male,46.0,5.0,35.0,0.0
Self-emp-not-inc,White,Male,36.0,13.0,40.0,3908.0
Private,White,Male,28.0,9.0,40.0,0.0
Private,White,Male,33.0,10.0,40.0,0.0
Private,White,Male,29.0,9.0,40.0,0.0
Private,White,Female,30.0,9.0,38.0,0.0
Private,White,Female,34.0,14.0,30.0,0.0
State-gov,White,Male,29.0,14.0,15.0,0.0
Private,White,Male,46.0,4.0,40.0,0.0
Private,Black,Female,36.0,9.0,40.0,0.0
Local-gov,White,Male,40.0,13.0,50.0,0.0
Private,Black,Male,28.0,10.0,40.0,0.0
Private,White,Male,37.0,15.0,36.0,14084.0
State-gov,White,Female,46.0,10.0,48.0,0.0
Private,White,Male,39.0,10.0,40.0,0.0
Private,White,Female,27.0,9.0,40.0,0.0
Private,Black,Male,26.0,13.0,40.0,0.0
Private,White,Male,19.0,9.0,40.0,0.0
Private,White,Male,26.0,9.0,40.0,0.0
Private,White,Male,51.0,14.0,55.0,0.0
Federal-gov,Black,Female,46.0,10.0,40.0,0.0
Private,Black,Female,43.0,9.0,44.0,0.0
Self-emp-inc,White,Male,69.0,9.0,40.0,0.0
Private,White,Male,64.0,9.0,40.0,0.0
Local-gov,White,Female,46.0,14.0,40.0,0.0
Private,White,Female,20.0,10.0,35.0,0.0
Federal-gov,Asian-Pac-Islander,Male,18.0,7.0,15.0,0.0
Private,White,Male,39.0,9.0,30.0,0.0
Federal-gov,Amer-Indian-Eskimo,Female,50.0,9.0,40.0,0.0
Private,White,Male,39.0,13.0,50.0,15024.0
Private,White,Female,29.0,12.0,36.0,0.0
Private,White,Female,31.0,9.0,40.0,0.0
Private,White,Male,35.0,13.0,35.0,7298.0
Private,White,Male,57.0,13.0,40.0,0.0
Local-gov,White,Male,41.0,12.0,40.0,0.0
Private,White,Male,55.0,13.0,55.0,0.0
State-gov,White,Female,29.0,9.0,40.0,0.0
Federal-gov,Black,Male,32.0,11.0,40.0,4650.0
Private,White,Female,27.0,9.0,35.0,0.0
Private,White,Male,26.0,10.0,45.0,0.0
Private,White,Male,52.0,10.0,40.0,0.0
Self-emp-inc,White,Female,55.0,9.0,60.0,0.0
Federal-gov,White,Female,24.0,13.0,40.0,2174.0
Private,Asian-Pac-Islander,Female,57.0,9.0,40.0,0.0
Private,White,Female,46.0,14.0,35.0,7688.0
Private,White,Female,38.0,10.0,72.0,4650.0
Private,White,Female,44.0,13.0,45.0,0.0
Private,White,Female,17.0,7.0,15.0,0.0
Private,White,Male,23.0,9.0,40.0,0.0
Private,Black,Female,47.0,9.0,,0.0
Private,Asian-Pac-Islander,Male,55.0,9.0,40.0,0.0
Private,White,Male,22.0,10.0,25.0,0.0
Self-emp-inc,White,Male,62.0,11.0,40.0,3137.0
Private,Black,Female,21.0,9.0,60.0,0.0
Private,White,Male,41.0,9.0,40.0,7688.0
Private,White,Male,27.0,10.0,24.0,0.0
Self-emp-not-inc,White,Male,72.0,9.0,70.0,4931.0
Private,Amer-Indian-Eskimo,Male,21.0,9.0,40.0,0.0
Private,White,Male,45.0,3.0,40.0,0.0
Private,White,Male,20.0,9.0,35.0,0.0
Private,White,Male,54.0,9.0,40.0,0.0
Private,White,Female,27.0,3.0,40.0,2176.0
Private,Black,Female,36.0,9.0,40.0,0.0
Private,White,Female,25.0,10.0,40.0,0.0
Private,White,Male,23.0,10.0,50.0,2597.0
Private,White,Male,32.0,9.0,40.0,0.0
Private,White,Male,29.0,9.0,50.0,0.0
Self-emp-inc,White,Female,36.0,10.0,15.0,0.0
Private,White,Male,48.0,16.0,60.0,0.0
Private,Asian-Pac-Islander,Female,31.0,12.0,40.0,0.0
Private,White,Male,41.0,10.0,40.0,0.0
Private,Black,Female,19.0,9.0,35.0,0.0
Private,White,Male,53.0,13.0,44.0,0.0
Self-emp-not-inc,White,Female,32.0,9.0,5.0,0.0
Private,White,Female,53.0,10.0,50.0,0.0
Private,Asian-Pac-Islander,Male,27.0,10.0,40.0,0.0
Federal-gov,White,Female,53.0,9.0,58.0,0.0
Local-gov,White,Male,47.0,14.0,45.0,7688.0
Private,White,Female,31.0,14.0,50.0,0.0
Private,White,Female,37.0,10.0,40.0,0.0
Private,White,Male,46.0,9.0,50.0,0.0
Private,Black,Male,26.0,9.0,40.0,0.0
Private,White,Male,63.0,9.0,6.0,0.0
Self-emp-inc,White,Male,31.0,9.0,50.0,0.0
Private,White,Male,23.0,9.0,40.0,0.0
Private,White,Male,30.0,13.0,40.0,0.0
Self-emp-inc,White,Male,57.0,14.0,65.0,15024.0
Private,White,Female,42.0,9.0,40.0,0.0
Private,White,Male,53.0,3.0,10.0,7688.0
Private,White,Male,30.0,13.0,40.0,0.0
Private,White,Male,23.0,10.0,35.0,0.0
Private,White,Female,52.0,15.0,30.0,3103.0
Private,White,Male,35.0,9.0,40.0,0.0
Self-emp-not-inc,White,Female,44.0,9.0,40.0,0.0
Federal-gov,White,Male,24.0,13.0,45.0,0.0
Self-emp-inc,White,Male,46.0,16.0,35.0,0.0
Private,White,Female,26.0,12.0,32.0,0.0
Private,White,Male,29.0,9.0,40.0,0.0
Self-emp-inc,White,Male,59.0,15.0,84.0,99999.0
Private,White,Male,31.0,9.0,50.0,0.0
Local-gov,White,Male,43.0,9.0,40.0,0.0
Local-gov,White,Male,35.0,9.0,40.0,0.0
Private,White,Male,37.0,14.0,60.0,0.0
Private,White,Male,23.0,7.0,30.0,0.0
Private,White,Female,46.0,9.0,40.0,0.0
Private,White,Male,49.0,14.0,65.0,0.0
Private,White,Female,35.0,13.0,40.0,0.0
Private,White,Female,30.0,13.0,40.0,0.0
Local-gov,Black,Male,20.0,9.0,30.0,0.0
Private,White,Female,39.0,9.0,40.0,0.0
Private,Asian-Pac-Islander,Male,48.0,10.0,40.0,0.0
Private,White,Male,38.0,15.0,60.0,99999.0
Private,White,Male,32.0,9.0,40.0,0.0
Private,White,Female,36.0,10.0,45.0,0.0
Private,White,Female,35.0,10.0,40.0,0.0
Local-gov,White,Male,44.0,10.0,80.0,0.0
Private,White,Male,23.0,10.0,25.0,0.0
Private,White,Male,56.0,9.0,40.0,0.0
Private,White,Female,30.0,9.0,45.0,0.0
Private,White,Male,34.0,13.0,50.0,0.0
Private,White,Male,21.0,10.0,40.0,0.0
Private,White,Male,30.0,9.0,40.0,0.0
Private,White,Female,45.0,9.0,26.0,0.0
Private,White,Male,29.0,9.0,40.0,0.0
Private,White,Female,28.0,15.0,50.0,0.0
Private,Black,Male,25.0,9.0,24.0,0.0
Private,White,Female,40.0,11.0,20.0,0.0
Private,Black,Female,20.0,9.0,35.0,0.0
Self-emp-inc,Asian-Pac-Islander,Female,51.0,13.0,35.0,0.0
Private,White,Male,32.0,10.0,84.0,0.0
Private,White,Male,56.0,13.0,45.0,14084.0
Private,White,Male,36.0,9.0,45.0,0.0
Private,White,Male,29.0,10.0,50.0,0.0
Private,White,Male,35.0,9.0,40.0,2354.0
Self-emp-not-inc,White,Male,34.0,9.0,40.0,0.0
Private,White,Male,58.0,11.0,40.0,3908.0
Private,White,Male,31.0,10.0,40.0,0.0
Self-emp-not-inc,White,Male,31.0,9.0,45.0,7298.0
Private,White,Male,49.0,13.0,40.0,0.0
Private,White,Male,71.0,3.0,40.0,0.0
State-gov,Black,Female,47.0,10.0,48.0,0.0
Self-emp-not-inc,White,Male,32.0,9.0,45.0,0.0
Private,Black,Male,72.0,2.0,36.0,0.0
Private,White,Male,34.0,9.0,40.0,0.0
Private,White,Male,63.0,6.0,40.0,0.0
Local-gov,Black,Female,49.0,6.0,40.0,0.0
Self-emp-not-inc,White,Male,42.0,15.0,50.0,0.0
Private,Asian-Pac-Islander,Female,49.0,9.0,40.0,0.0
Private,Asian-Pac-Islander,Male,24.0,10.0,30.0,0.0
Private,White,Female,18.0,7.0,10.0,0.0
Federal-gov,White,Female,48.0,7.0,42.0,0.0
Private,White,Male,32.0,12.0,40.0,0.0
Self-emp-inc,White,Male,47.0,13.0,50.0,0.0
Private,Black,Male,59.0,8.0,35.0,0.0
Private,White,Female,50.0,9.0,40.0,0.0
Private,Black,Female,39.0,9.0,16.0,0.0
Self-emp-not-inc,White,Male,50.0,15.0,50.0,0.0
Private,White,Male,28.0,9.0,40.0,0.0
Self-emp-not-inc,Amer-Indian-Eskimo,Female,54.0,5.0,15.0,0.0
Private,White,Male,56.0,4.0,40.0,0.0
Private,White,Male,25.0,13.0,50.0,0.0
Private,White,Male,26.0,9.0,40.0,0.0
Private,White,Male,50.0,13.0,40.0,0.0
Private,White,Female,20.0,9.0,40.0,0.0
Federal-gov,White,Male,53.0,10.0,40.0,4386.0
Private,White,Male,58.0,13.0,40.0,0.0
Private,White,Female,37.0,13.0,40.0,0.0
Private,White,Female,48.0,13.0,38.0,0.0
Private,White,Male,24.0,13.0,30.0,0.0
Private,White,Female,31.0,13.0,40.0,0.0
Private,White,Male,26.0,9.0,38.0,5013.0
Private,Black,Male,43.0,12.0,40.0,0.0
Self-emp-not-inc,White,Male,57.0,12.0,40.0,0.0
Private,White,Male,20.0,9.0,40.0,0.0
Private,White,Female,25.0,12.0,30.0,0.0
Private,White,Male,53.0,15.0,40.0,0.0
Private,White,Female,29.0,9.0,20.0,0.0
Private,White,Male,53.0,13.0,40.0,0.0
Self-emp-not-inc,White,Male,39.0,7.0,40.0,0.0
Private,White,Male,36.0,13.0,40.0,0.0
Private,White,Male,42.0,13.0,40.0,0.0
State-gov,White,Male,35.0,10.0,40.0,0.0
Private,White,Male,33.0,12.0,40.0,0.0
Private,Other,Female,31.0,4.0,40.0,0.0
Local-gov,White,Female,53.0,14.0,50.0,0.0
Private,White,Male,52.0,6.0,30.0,0.0
Private,White,Male,37.0,9.0,44.0,0.0
Private,White,Male,63.0,9.0,40.0,0.0
Private,Black,Male,34.0,9.0,40.0,0.0
Private,White,Female,26.0,14.0,35.0,594.0
Private,White,Female,27.0,10.0,40.0,0.0
Private,Black,Male,26.0,9.0,40.0,0.0
Federal-gov,White,Male,52.0,9.0,45.0,0.0
Private,White,Male,24.0,13.0,47.0,0.0
Self-emp-inc,White,Female,34.0,12.0,36.0,0.0
Private,White,Female,38.0,11.0,40.0,0.0
Private,White,Male,43.0,13.0,40.0,7298.0
Private,White,Male,23.0,9.0,40.0,0.0
Private,White,Male,58.0,10.0,40.0,0.0
Private,White,Male,43.0,11.0,40.0,0.0
Private,White,Male,19.0,6.0,45.0,0.0
Private,Black,Female,42.0,10.0,40.0,0.0
Private,White,Male,31.0,10.0,50.0,0.0
Private,Asian-Pac-Islander,Male,31.0,13.0,40.0,0.0
Private,White,Female,35.0,10.0,32.0,0.0
Private,Asian-Pac-Islander,Male,23.0,9.0,40.0,0.0
Private,White,Female,30.0,15.0,24.0,0.0
Private,White,Male,44.0,9.0,40.0,5013.0
Self-emp-not-inc,Other,Male,27.0,10.0,50.0,0.0
Private,White,Male,24.0,13.0,35.0,0.0
Self-emp-inc,White,Male,62.0,16.0,80.0,99999.0
Private,White,Female,22.0,10.0,40.0,0.0
Self-emp-not-inc,White,Male,47.0,12.0,25.0,0.0
Private,White,Male,53.0,9.0,40.0,0.0
Private,White,Female,41.0,9.0,40.0,0.0
Private,White,Male,64.0,9.0,12.0,0.0
Private,White,Female,39.0,10.0,40.0,0.0
Private,White,Male,18.0,7.0,35.0,0.0
Private,White,Male,50.0,14.0,62.0,0.0
Private,Black,Female,41.0,9.0,40.0,0.0
Self-emp-not-inc,White,Male,30.0,9.0,50.0,99999.0
Private,Amer-Indian-Eskimo,Female,18.0,7.0,25.0,0.0
State-gov,White,Female,40.0,12.0,40.0,0.0
Private,Asian-Pac-Islander,Female,32.0,3.0,40.0,0.0
Private,Asian-Pac-Islander,Male,29.0,13.0,1.0,0.0
Private,White,Male,37.0,14.0,40.0,0.0
Private,White,Male,31.0,12.0,40.0,0.0
Private,Black,Female,20.0,10.0,15.0,0.0
Private,White,Male,32.0,10.0,72.0,0.0
State-gov,White,Male,34.0,13.0,40.0,0.0
Local-gov,White,Female,65.0,10.0,28.0,0.0
Local-gov,White,Male,46.0,12.0,44.0,0.0
Federal-gov,Asian-Pac-Islander,Male,34.0,13.0,38.0,0.0
Private,White,Male,21.0,10.0,43.0,0.0
Private,White,Male,57.0,9.0,60.0,0.0
Self-emp-not-inc,White,Male,53.0,9.0,85.0,0.0
Private,White,Male,24.0,9.0,45.0,0.0
Private,White,Male,41.0,9.0,40.0,0.0
Private,White,Male,36.0,9.0,40.0,0.0
Private,White,Male,23.0,13.0,40.0,0.0
Self-emp-inc,White,Male,60.0,4.0,55.0,0.0
Self-emp-not-inc,White,Male,58.0,9.0,72.0,0.0
State-gov,White,Male,43.0,10.0,40.0,0.0
Private,White,Male,56.0,9.0,40.0,0.0
Federal-gov,White,Female,35.0,9.0,40.0,0.0
Private,White,Male,55.0,10.0,40.0,0.0
Private,Black,Male,30.0,9.0,40.0,0.0
Local-gov,Amer-Indian-Eskimo,Female,38.0,10.0,40.0,5013.0
Self-emp-not-inc,White,Male,62.0,10.0,70.0,0.0
Private,White,Male,51.0,9.0,40.0,0.0
State-gov,White,Female,21.0,10.0,35.0,0.0
Private,White,Male,40.0,13.0,40.0,7298.0
Private,White,Male,25.0,13.0,30.0,0.0
Private,White,Male,59.0,13.0,50.0,0.0
Local-gov,White,Male,44.0,13.0,40.0,0.0
Local-gov,Other,Male,27.0,10.0,40.0,0.0
Private,White,Male,43.0,13.0,35.0,0.0
Self-emp-not-inc,White,Male,26.0,15.0,20.0,0.0
Private,White,Female,22.0,10.0,40.0,0.0
Self-emp-not-inc,White,Male,23.0,12.0,30.0,0.0
Self-emp-inc,White,Male,37.0,6.0,50.0,0.0
Self-emp-not-inc,White,Male,46.0,13.0,20.0,0.0
Private,White,Male,28.0,3.0,40.0,0.0
Private,Black,Female,18.0,7.0,8.0,0.0
State-gov,Amer-Indian-Eskimo,Female,53.0,9.0,28.0,0.0
Private,White,Male,33.0,9.0,50.0,0.0
Private,Black,Male,33.0,10.0,40.0,4064.0
State-gov,White,Male,27.0,13.0,40.0,0.0
Local-gov,White,Male,33.0,11.0,60.0,0.0
Private,White,Male,31.0,9.0,50.0,0.0
Private,White,Male,43.0,13.0,45.0,0.0
Private,White,Female,18.0,6.0,35.0,0.0
Private,White,Male,29.0,9.0,40.0,3325.0
Private,White,Male,44.0,9.0,45.0,0.0
Private,Black,Female,43.0,10.0,40.0,0.0
Local-gov,White,Female,49.0,10.0,30.0,0.0
Private,Asian-Pac-Islander,Male,28.0,13.0,40.0,0.0
Private,White,Female,40.0,9.0,30.0,0.0
Self-emp-not-inc,White,Male,20.0,9.0,40.0,0.0
Private,White,Male,51.0,9.0,40.0,0.0
Private,White,Male,47.0,11.0,60.0,0.0
Private,White,Female,22.0,6.0,25.0,0.0
Private,White,Female,27.0,9.0,40.0,0.0
Private,White,Male,29.0,13.0,50.0,0.0
Private,White,Female,26.0,13.0,40.0,0.0
Private,White,Male,26.0,11.0,40.0,0.0
Private,White,Male,26.0,10.0,40.0,0.0
Private,White,Male,37.0,14.0,50.0,0.0
State-gov,White,Male,29.0,10.0,36.0,0.0
Private,White,Male,41.0,9.0,40.0,2885.0
Private,White,Female,20.0,12.0,20.0,0.0
Private,White,Male,18.0,7.0,25.0,0.0
Private,White,Male,40.0,10.0,40.0,0.0
Private,White,Female,32.0,9.0,40.0,0.0
Private,White,Male,52.0,9.0,40.0,0.0
Private,Black,Female,25.0,9.0,40.0,0.0
Self-emp-not-inc,White,Female,48.0,12.0,40.0,0.0
Private,White,Male,35.0,9.0,40.0,0.0
Private,White,Female,32.0,6.0,40.0,0.0
Private,White,Female,50.0,9.0,72.0,0.0
Local-gov,Black,Female,28.0,13.0,60.0,0.0
Private,White,Male,57.0,13.0,40.0,0.0
Private,White,Male,37.0,10.0,17.0,0.0
Private,White,Female,27.0,9.0,15.0,0.0
Private,White,Female,33.0,8.0,40.0,0.0
Federal-gov,White,Male,38.0,9.0,,0.0
Private,White,Male,22.0,10.0,55.0,0.0
Private,White,Male,37.0,10.0,35.0,0.0
Private,White,Male,29.0,12.0,40.0,0.0
Private,White,Female,33.0,10.0,40.0,0.0
Private,White,Male,27.0,9.0,40.0,0.0
Private,Black,Male,32.0,14.0,40.0,0.0
Private,White,Female,39.0,9.0,40.0,0.0
Private,White,Male,37.0,2.0,40.0,0.0
Self-emp-not-inc,White,Male,27.0,5.0,40.0,0.0
Private,White,Male,26.0,10.0,40.0,0.0
Private,Black,Female,48.0,9.0,33.0,0.0
State-gov,Black,Male,33.0,13.0,,0.0
Private,White,Male,37.0,9.0,50.0,0.0
Local-gov,Black,Male,47.0,10.0,50.0,7688.0
Private,Black,Female,31.0,9.0,60.0,0.0
Private,White,Male,20.0,9.0,40.0,0.0
Private,White,Male,52.0,11.0,40.0,0.0
Private,White,Male,37.0,13.0,35.0,0.0
Self-emp-not-inc,White,Male,62.0,4.0,10.0,0.0
Private,White,Female,37.0,14.0,40.0,0.0
Private,White,Male,22.0,9.0,40.0,0.0
Private,White,Male,40.0,10.0,40.0,0.0
Private,White,Male,35.0,13.0,50.0,0.0
Local-gov,White,Male,55.0,13.0,40.0,0.0
Federal-gov,White,Male,63.0,10.0,40.0,15024.0
Self-emp-inc,White,Male,57.0,13.0,50.0,0.0
Private,White,Female,44.0,14.0,55.0,0.0
Private,White,Female,41.0,9.0,40.0,0.0
Private,White,Male,40.0,15.0,60.0,0.0
Private,White,Female,31.0,10.0,55.0,0.0
Private,White,Female,20.0,10.0,15.0,0.0
Private,White,Male,20.0,9.0,30.0,0.0
Self-emp-inc,White,Female,50.0,9.0,40.0,0.0
Private,White,Male,39.0,12.0,60.0,0.0
Private,White,Female,50.0,7.0,40.0,0.0
Private,Black,Male,34.0,10.0,40.0,7298.0
Private,Black,Male,56.0,10.0,50.0,0.0
Private,White,Female,50.0,9.0,48.0,0.0
Self-emp-not-inc,White,Male,46.0,10.0,60.0,0.0
Local-gov,Asian-Pac-Islander,Female,26.0,13.0,50.0,0.0
Private,Black,Female,53.0,11.0,40.0,0.0
Private,Black,Female,39.0,11.0,40.0,0.0
Local-gov,White,Male,47.0,7.0,40.0,3411.0
Local-gov,White,Female,63.0,9.0,35.0,0.0
Self-emp-not-inc,White,Male,59.0,9.0,40.0,0.0
Private,Black,Male,30.0,5.0,40.0,0.0
Private,White,Male,40.0,10.0,48.0,0.0
Private,White,Female,19.0,8.0,30.0,0.0
State-gov,White,Female,27.0,14.0,50.0,0.0
Private,White,Female,46.0,11.0,36.0,0.0
Local-gov,White,Female,46.0,14.0,45.0,0.0
Self-emp-inc,White,Male,71.0,13.0,60.0,0.0
Private,White,Female,39.0,10.0,38.0,0.0
Local-gov,White,Female,46.0,14.0,60.0,0.0
Local-gov,White,Female,22.0,10.0,21.0,0.0
Private,White,Male,21.0,5.0,40.0,0.0
Private,Asian-Pac-Islander,Male,49.0,4.0,45.0,0.0
Private,White,Male,38.0,12.0,40.0,0.0
Private,White,Male,27.0,9.0,45.0,0.0
Private,White,Male,23.0,13.0,40.0,0.0
Private,White,Male,29.0,9.0,40.0,0.0
Private,White,Male,47.0,10.0,40.0,0.0
Private,White,Female,43.0,7.0,25.0,0.0
Private,White,Male,17.0,7.0,25.0,0.0
Private,White,Female,39.0,11.0,40.0,594.0
Local-gov,White,Male,29.0,14.0,40.0,0.0
Self-emp-inc,White,Male,56.0,16.0,70.0,99999.0
Private,White,Male,37.0,11.0,40.0,7688.0
State-gov,White,Male,39.0,9.0,50.0,0.0
Private,White,Male,31.0,13.0,35.0,0.0
Private,White,Male,28.0,9.0,42.0,0.0
Private,White,Male,27.0,7.0,40.0,0.0
Private,White,Male,25.0,4.0,40.0,0.0
Local-gov,White,Male,29.0,14.0,45.0,0.0
Private,White,Male,41.0,9.0,40.0,0.0
Self-emp-inc,White,Female,56.0,9.0,50.0,0.0
Private,White,Male,46.0,13.0,50.0,7298.0
Self-emp-not-inc,White,Male,21.0,10.0,30.0,0.0
Private,White,Female,54.0,10.0,40.0,0.0
Private,White,Male,43.0,13.0,40.0,0.0
Private,White,Male,52.0,9.0,40.0,0.0
Private,White,Female,22.0,10.0,16.0,0.0
Private,White,Male,23.0,13.0,15.0,0.0
Private,White,Female,44.0,12.0,40.0,0.0
Private,White,Male,40.0,10.0,50.0,0.0
Private,Black,Male,20.0,10.0,40.0,0.0
Federal-gov,White,Male,27.0,9.0,40.0,0.0
Private,White,Male,40.0,9.0,46.0,0.0
Private,Amer-Indian-Eskimo,Male,42.0,11.0,40.0,0.0
Private,White,Female,22.0,10.0,35.0,0.0
Private,Black,Female,45.0,9.0,40.0,0.0
Private,White,Male,43.0,14.0,50.0,7298.0
Private,Black,Male,35.0,9.0,40.0,0.0
Private,White,Female,19.0,9.0,30.0,0.0
Self-emp-not-inc,White,Male,51.0,9.0,40.0,0.0
Local-gov,Black,Female,57.0,14.0,40.0,0.0
Private,White,Male,42.0,9.0,46.0,0.0
Private,White,Female,34.0,10.0,12.0,0.0
Local-gov,White,Male,39.0,7.0,40.0,0.0
Private,White,Female,22.0,10.0,20.0,0.0
Private,White,Male,59.0,10.0,40.0,0.0
Private,Black,Female,37.0,9.0,30.0,0.0
State-gov,Amer-Indian-Eskimo,Male,40.0,9.0,84.0,0.0
Private,White,Male,55.0,3.0,50.0,0.0
Private,White,Female,64.0,10.0,3.0,0.0
Private,White,Male,39.0,4.0,40.0,0.0
Private,White,Male,46.0,10.0,40.0,0.0
Self-emp-not-inc,White,Male,56.0,13.0,45.0,0.0
Private,White,Male,40.0,10.0,40.0,0.0
State-gov,White,Female,43.0,9.0,40.0,0.0
Private,White,Male,43.0,12.0,60.0,0.0
Private,Black,Male,43.0,9.0,40.0,4386.0
Local-gov,White,Female,26.0,9.0,25.0,0.0
Self-emp-not-inc,Asian-Pac-Islander,Male,38.0,10.0,60.0,0.0
Private,White,Male,25.0,7.0,40.0,0.0
Private,White,Male,66.0,10.0,24.0,0.0
Private,White,Female,46.0,9.0,40.0,0.0
Private,White,Male,36.0,9.0,40.0,0.0
Private,Amer-Indian-Eskimo,Male,46.0,11.0,60.0,0.0
Private,White,Male,52.0,5.0,45.0,0.0
Self-emp-not-inc,White,Female,18.0,7.0,20.0,0.0
Private,White,Female,18.0,10.0,35.0,0.0
Private,White,Male,27.0,10.0,80.0,0.0
Private,White,Male,33.0,14.0,40.0,0.0
Private,White,Male,26.0,13.0,50.0,0.0
Private,White,Male,24.0,7.0,40.0,0.0
Private,White,Male,24.0,9.0,40.0,0.0
Private,White,Male,30.0,9.0,40.0,0.0
Private,White,Female,45.0,9.0,40.0,0.0
Private,White,Male,30.0,13.0,44.0,0.0
Private,White,Female,63.0,9.0,24.0,0.0
Self-emp-inc,White,Male,67.0,4.0,48.0,0.0
Self-emp-not-inc,White,Male,62.0,9.0,60.0,0.0
Private,White,Male,31.0,11.0,38.0,3464.0
Private,Black,Male,18.0,4.0,20.0,0.0
Private,Black,Male,41.0,9.0,40.0,0.0
Private,Black,Male,33.0,9.0,46.0,0.0
Self-emp-inc,White,Male,55.0,15.0,35.0,0.0
Federal-gov,White,Female,38.0,10.0,40.0,0.0
Self-emp-inc,White,Male,29.0,9.0,40.0,0.0
Private,White,Male,35.0,14.0,38.0,0.0
Private,White,Male,38.0,13.0,44.0,0.0
Private,White,Male,51.0,5.0,40.0,0.0
Private,White,Female,27.0,11.0,35.0,0.0
Self-emp-not-inc,White,Male,42.0,13.0,45.0,0.0
Private,White,Male,28.0,8.0,40.0,0.0
Private,White,Male,47.0,6.0,65.0,0.0
Private,White,Male,41.0,10.0,50.0,0.0
Private,Black,Male,50.0,8.0,40.0,0.0
Private,White,Male,19.0,10.0,35.0,2176.0
Private,White,Female,28.0,13.0,20.0,5013.0
Private,White,Male,55.0,13.0,15.0,0.0
Private,White,Female,71.0,9.0,16.0,0.0
State-gov,White,Female,38.0,10.0,10.0,0.0
Private,White,Female,52.0,9.0,40.0,0.0
Private,White,Male,51.0,11.0,40.0,0.0
Private,White,Female,35.0,9.0,42.0,0.0
Private,Black,Male,46.0,14.0,35.0,0.0
Private,White,Male,67.0,13.0,8.0,0.0
Private,White,Male,43.0,10.0,40.0,0.0
Self-emp-not-inc,White,Male,43.0,10.0,20.0,0.0
Local-gov,White,Female,49.0,7.0,60.0,0.0
Private,White,Male,21.0,4.0,40.0,0.0
Private,White,Male,35.0,10.0,40.0,4064.0
Private,White,Female,48.0,9.0,40.0,0.0
Self-emp-inc,White,Male,47.0,13.0,50.0,0.0
Private,Black,Female,19.0,10.0,40.0,0.0
Self-emp-not-inc,White,Male,29.0,9.0,40.0,0.0
Private,White,Female,45.0,11.0,40.0,0.0
State-gov,White,Male,37.0,10.0,65.0,0.0
